,District,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,楠梓區,清豐里,22.74535495,120.32990519763828,大眾羊肉,22.749278,120.330398,Asian Restaurant
1,楠梓區,東寧里,22.73357185,120.3299304226049,台糖量販楠梓店,22.73617273128596,120.33101438812507,Shopping Mall
2,楠梓區,東寧里,22.73357185,120.3299304226049,smallの萱,22.731523513793945,120.32788848876952,Restaurant
3,楠梓區,東寧里,22.73357185,120.3299304226049,廣東汕頭自製雞蛋麵,22.736191,120.33223999999998,Soup Place
4,楠梓區,東寧里,22.73357185,120.3299304226049,85度C,22.729231490131372,120.32979251119819,Coffee Shop
5,楠梓區,五常里,22.728446899999998,120.33399401117613,統聯客運楠梓站,22.73009356089793,120.33354256716328,Bus Station
6,楠梓區,五常里,22.728446899999998,120.33399401117613,千葉火鍋,22.72908353984775,120.33178016690674,Asian Restaurant
7,楠梓區,五常里,22.728446899999998,120.33399401117613,阿羅哈客運,22.72624313602384,120.33409999870665,Bus Station
8,楠梓區,五常里,22.728446899999998,120.33399401117613,永和豆漿,22.731327,120.336184,Chinese Breakfast Place
9,楠梓區,五常里,22.728446899999998,120.33399401117613,老記麻辣鴛鴦鍋,22.731709,120.336424,Hotpot Restaurant
10,楠梓區,五常里,22.728446899999998,120.33399401117613,金順韓式料理,22.731971740722656,120.3367156982422,Korean Restaurant
11,楠梓區,享平里,22.72945035,120.32949681898596,星巴克,22.727832,120.325553,Coffee Shop
12,楠梓區,享平里,22.72945035,120.32949681898596,smallの萱,22.731523513793945,120.32788848876952,Restaurant
13,楠梓區,享平里,22.72945035,120.32949681898596,肯德基 KFC,22.726842097653666,120.32678563167592,Fried Chicken Joint
14,楠梓區,享平里,22.72945035,120.32949681898596,楠梓夜市,22.726466619047965,120.32661670380381,Night Market
15,楠梓區,享平里,22.72945035,120.32949681898596,101 Stationery Paradise (101文具天堂（高雄楠梓新路店）),22.727609,120.32543700000001,Stationery Store
16,楠梓區,享平里,22.72945035,120.32949681898596,爭鮮楠梓店 Sushi Express,22.727391085124406,120.32539478568285,Sushi Restaurant
17,楠梓區,中陽里,22.7226619,120.32778640484337,楊寶寶蒸餃,22.724360399307976,120.32779700819694,Dumpling Restaurant
18,楠梓區,中陽里,22.7226619,120.32778640484337,森川丼丼,22.725841,120.32634099999999,Japanese Restaurant
19,楠梓區,中陽里,22.7226619,120.32778640484337,和欣客運 楠梓站,22.72295084911613,120.33187866210938,Bus Station
20,楠梓區,中陽里,22.7226619,120.32778640484337,麥當勞楠梓店,22.72697481970816,120.32646466853191,Fast Food Restaurant
21,楠梓區,惠楠里,22.72646415,120.32428916536472,楊寶寶蒸餃,22.724360399307976,120.32779700819694,Dumpling Restaurant
22,楠梓區,惠楠里,22.72646415,120.32428916536472,星巴克,22.727832,120.325553,Coffee Shop
23,楠梓區,惠楠里,22.72646415,120.32428916536472,臺鐵楠梓車站,22.72714223314228,120.32435868024687,Train Station
24,楠梓區,惠楠里,22.72646415,120.32428916536472,森川丼丼,22.725841,120.32634099999999,Japanese Restaurant
25,楠梓區,惠民里,22.730264000000002,120.32295577494448,星巴克,22.727832,120.325553,Coffee Shop
26,楠梓區,惠民里,22.730264000000002,120.32295577494448,KMRT Metropolitan Park Station (捷運都會公園站 (R21)),22.729610170328225,120.32097438724554,Metro Station
27,楠梓區,惠民里,22.730264000000002,120.32295577494448,臺鐵楠梓車站,22.72714223314228,120.32435868024687,Train Station
28,楠梓區,惠民里,22.730264000000002,120.32295577494448,101 Stationery Paradise (101文具天堂（高雄楠梓新路店）),22.727609,120.32543700000001,Stationery Store
29,楠梓區,惠民里,22.730264000000002,120.32295577494448,爭鮮楠梓店 Sushi Express,22.727391085124406,120.32539478568285,Sushi Restaurant
30,楠梓區,惠豐里,22.72723965,120.31996755255106,後勁溪,22.72638859356914,120.31962852920643,River
31,楠梓區,惠豐里,22.72723965,120.31996755255106,高雄都會公園站,22.7292767,120.32012490000001,Metro Station
32,楠梓區,惠豐里,22.72723965,120.31996755255106,KMRT Metropolitan Park Station (捷運都會公園站 (R21)),22.729610170328225,120.32097438724554,Metro Station
33,楠梓區,惠豐里,22.72723965,120.31996755255106,歡喜粥飯麵食館,22.729805,120.31688600000001,Asian Restaurant
34,楠梓區,惠豐里,22.72723965,120.31996755255106,臺鐵楠梓車站,22.72714223314228,120.32435868024687,Train Station
35,楠梓區,錦屏里,22.7173612,120.31132620101522,麥當勞後勁店,22.718838,120.31073400000001,Fast Food Restaurant
36,楠梓區,錦屏里,22.7173612,120.31132620101522,後勁觀光夜市,22.719376844908066,120.31100119348598,Night Market
37,楠梓區,錦屏里,22.7173612,120.31132620101522,煉油廠宿舍菜市場,22.715192086243906,120.3087043762207,Food Court
38,楠梓區,錦屏里,22.7173612,120.31132620101522,阿秀麵,22.715345000000003,120.30846399999999,Noodle House
39,楠梓區,錦屏里,22.7173612,120.31132620101522,KMRT Nanzih Export Processing Zone Station (捷運楠梓加工區站 (R19)),22.718649094923297,120.3068429272083,Metro Station
40,楠梓區,金田里,22.72335505,120.31732044632928,捷運後勁站(海科大) KMRT Houjing Station (NKMU) (R20),22.722352133717045,120.31634330749512,Metro Station
41,楠梓區,稔田里,22.7143764,120.32540825032335,統一速達（股）公司,22.71134,120.32506000000001,Tourist Information Center
42,楠梓區,瑞屏里,22.72315985,120.30664813612455,楊寶寶 Yang-BaoBao,22.72657986077219,120.30652962176256,Dim Sum Restaurant
