,name,id,level
185,ramen restaurant,55a59bace4b013909087cb24,3
186,shabu-shabu restaurant,55a59bace4b013909087cb15,3
187,soba restaurant,55a59bace4b013909087cb27,3
188,sukiyaki restaurant,55a59bace4b013909087cb12,3
189,sushi restaurant,4bf58dd8d48988d1d2941735,3
190,takoyaki place,55a59bace4b013909087cb2d,3
191,teishoku restaurant,5f2c239eb6d05514c70441ee,3
192,tempura restaurant,55a59a31e4b013909087cb00,3
193,tonkatsu restaurant,55a59af1e4b013909087cb03,3
194,udon restaurant,55a59bace4b013909087cb2a,3
195,unagi restaurant,55a59bace4b013909087cb0f,3
196,wagashi place,55a59bace4b013909087cb33,3
197,yakitori restaurant,55a59bace4b013909087cb09,3
198,yoshoku restaurant,55a59bace4b013909087cb36,3
199,korean restaurant,4bf58dd8d48988d113941735,2
200,bossamjokbal restaurant,56aa371be4b08b9a8d5734e4,3
201,bunsik restaurant,56aa371be4b08b9a8d5734f0,3
202,gukbap restaurant,56aa371be4b08b9a8d5734e7,3
203,janguh restaurant,56aa371be4b08b9a8d5734ed,3
204,korean bbq restaurant,5f2c3f6b5b4c177b9a6dc388,3
205,samgyetang restaurant,56aa371be4b08b9a8d5734ea,3
206,malay restaurant,4bf58dd8d48988d156941735,2
207,mamak restaurant,5ae9595eb77c77002c2f9f26,3
208,mongolian restaurant,4eb1d5724b900d56c88a45fe,2
209,noodle house,4bf58dd8d48988d1d1941735,2
210,satay restaurant,56aa371be4b08b9a8d57350e,2
211,singaporean restaurant,5f2c430e5b4c177b9a6dcabd,2
212,thai restaurant,4bf58dd8d48988d149941735,2
213,som tum restaurant,56aa371be4b08b9a8d573502,3
214,tibetan restaurant,52af39fb3cf9994f4e043be9,2
215,vietnamese restaurant,4bf58dd8d48988d14a941735,2
216,australian restaurant,4bf58dd8d48988d169941735,1
217,austrian restaurant,52e81612bcbc57f1066b7a01,1
218,bbq joint,4bf58dd8d48988d1df931735,1
219,bagel shop,4bf58dd8d48988d179941735,1
220,bakery,4bf58dd8d48988d16a941735,1
221,bangladeshi restaurant,5e179ee74ae8e90006e9a746,1
222,belgian restaurant,52e81612bcbc57f1066b7a02,1
223,bistro,52e81612bcbc57f1066b79f1,1
224,breakfast spot,4bf58dd8d48988d143941735,1
225,bubble tea shop,52e81612bcbc57f1066b7a0c,1
226,buffet,52e81612bcbc57f1066b79f4,1
227,burger joint,4bf58dd8d48988d16c941735,1
228,cafeteria,4bf58dd8d48988d128941735,1
229,café,4bf58dd8d48988d16d941735,1
230,cajun creole restaurant,4bf58dd8d48988d17a941735,1
231,caribbean restaurant,4bf58dd8d48988d144941735,1
232,cuban restaurant,4bf58dd8d48988d154941735,2
233,puerto rican restaurant,5f2c2abab6d05514c70446e4,2
234,caucasian restaurant,5293a7d53cf9994f4e043a45,1
235,coffee shop,4bf58dd8d48988d1e0931735,1
236,comfort food restaurant,52e81612bcbc57f1066b7a00,1
237,creperie,52e81612bcbc57f1066b79f2,1
238,czech restaurant,52f2ae52bcbc57f1066b8b81,1
239,deli bodega,4bf58dd8d48988d146941735,1
240,dessert shop,4bf58dd8d48988d1d0941735,1
241,cupcake shop,4bf58dd8d48988d1bc941735,2
242,frozen yogurt shop,512e7cae91d4cbb4e5efe0af,2
243,gelato shop,5f2c407c5b4c177b9a6dc536,2
244,ice cream shop,4bf58dd8d48988d1c9941735,2
245,pastry shop,5744ccdfe4b0c0459246b4e2,2
246,pie shop,52e81612bcbc57f1066b7a0a,2
247,diner,4bf58dd8d48988d147941735,1
248,donut shop,4bf58dd8d48988d148941735,1
249,dumpling restaurant,4bf58dd8d48988d108941735,1
250,dutch restaurant,5744ccdfe4b0c0459246b4d0,1
251,eastern european restaurant,4bf58dd8d48988d109941735,1
252,belarusian restaurant,52e928d0bcbc57f1066b7e97,2
253,bosnian restaurant,58daa1558bbb0b01f18ec1ee,2
254,bulgarian restaurant,56aa371be4b08b9a8d5734f3,2
255,romanian restaurant,52960bac3cf9994f4e043ac4,2
256,tatar restaurant,52e928d0bcbc57f1066b7e98,2
257,english restaurant,52e81612bcbc57f1066b7a05,1
258,falafel restaurant,4bf58dd8d48988d10b941735,1
259,fast food restaurant,4bf58dd8d48988d16e941735,1
260,fish & chips shop,4edd64a0c7ddd24ca188df1a,1
261,fondue restaurant,52e81612bcbc57f1066b7a09,1
262,food court,4bf58dd8d48988d120951735,1
263,food stand,56aa371be4b08b9a8d57350b,1
