,Districts,Neighborhoods,lat,lng
0,楠梓區,清豐里,22.74535495,120.32990519763827
1,楠梓區,東寧里,22.73357185,120.3299304226049
2,楠梓區,五常里,22.7284469,120.33399401117613
3,楠梓區,享平里,22.72945035,120.32949681898597
4,楠梓區,中陽里,22.7226619,120.32778640484337
5,楠梓區,惠楠里,22.72646415,120.32428916536473
6,楠梓區,惠民里,22.730264,120.32295577494449
7,楠梓區,惠豐里,22.72723965,120.31996755255106
8,楠梓區,錦屏里,22.7173612,120.31132620101522
9,楠梓區,玉屏里,22.71535175,120.31538523593284
10,楠梓區,金田里,22.723355050000002,120.31732044632926
11,楠梓區,稔田里,22.7143764,120.32540825032336
12,楠梓區,瑞屏里,22.723159850000002,120.30664813612456
13,楠梓區,翠屏里,22.727678750000003,120.304491964746
14,楠梓區,宏南里,22.7074396,120.31198069869492
15,楠梓區,宏毅里,22.71556865,120.30744174558524
16,楠梓區,宏榮里,22.712696200000003,120.30265502964295
17,楠梓區,廣昌里,22.7068953,120.28576329755896
18,楠梓區,久昌里,22.7092326,120.2842618937234
19,楠梓區,大昌里,22.706893049999998,120.29005213913794
20,楠梓區,福昌里,22.71421995,120.28394711812292
21,楠梓區,盛昌里,22.7074857,120.2785818404212
22,楠梓區,泰昌里,22.714208300000003,120.28526198181993
23,楠梓區,興昌里,22.71634285,120.28636272543467
24,楠梓區,建昌里,22.713128849999997,120.29060846058688
25,楠梓區,宏昌里,22.7180007,120.29357086555811
26,楠梓區,和昌里,22.7084057,120.29479219854855
27,楠梓區,慶昌里,22.71054015,120.29791218248957
28,楠梓區,隆昌里,22.7115863,120.2936032734878
29,楠梓區,秀昌里,22.71292575,120.29622630580315
30,楠梓區,裕昌里,22.717457000000003,120.28837205094712
31,楠梓區,國昌里,22.7213998,120.28675773760256
32,楠梓區,加昌里,22.71925435,120.29711011617442
33,楠梓區,仁昌里,22.7238969,120.29434402153896
34,楠梓區,藍田里,22.7301088,120.28668328257159
35,楠梓區,中興里,22.7247864,120.28021441065776
36,楠梓區,中和里,22.7236893,120.26884665504784
37,左營區,進學里,22.691389100000002,120.29499999242694
38,左營區,尾西里,22.6890355,120.29334655669354
39,左營區,頂北里,22.6875502,120.29251420386225
40,左營區,中北里,22.686250549999997,120.29327926048637
41,左營區,中南里,22.6847469,120.29408302433916
42,左營區,廟東里,22.6864154,120.29497247045973
43,左營區,廟北里,22.687490699999998,120.29537310043884
44,左營區,尾南里,22.68855305,120.29667957437054
45,左營區,尾北里,22.6890862,120.30560411549702
46,左營區,屏山里,22.6933694,120.30087016576198
47,左營區,祥和里,22.69365495,120.30439643497559
48,左營區,永清里,22.697096600000002,120.29699015706785
49,左營區,莒光里,22.706762349999998,120.29499418177858
50,左營區,光輝里,22.70776295,120.29745367449159
51,左營區,合群里,22.69890555,120.28940192929194
52,左營區,明建里,22.69599465,120.28055404346557
53,左營區,頂西里,22.68649255,120.29112175806699
54,左營區,聖后里,22.684988099999998,120.29180665671294
55,左營區,聖西里,22.6833083,120.29218845062529
56,左營區,聖南里,22.6842392,120.28999623371159
57,左營區,城南里,22.682584849999998,120.2898764217292
58,左營區,路東里,22.684374650000002,120.28856986097557
59,左營區,廍北里,22.68582585,120.28838620211376
60,左營區,廍南里,22.68307575,120.2871733765414
61,左營區,埤西里,22.681266049999998,120.28829445758598
62,左營區,埤北里,22.679201,120.28956566199014
63,左營區,埤東里,22.67810085,120.29402887810795
64,左營區,海勝里,22.6728005,120.29042356607721
65,左營區,崇實里,22.679851900000003,120.27542175741746
66,左營區,自助里,22.67458765,120.28640943567207
67,左營區,果貿里,22.6714855,120.28796308696143
68,左營區,果惠里,22.67026,120.28786597283236
69,左營區,果峰里,22.6691827,120.28817186633071
70,左營區,新下里,22.672211750000002,120.29781589147983
71,左營區,新上里,22.6615713,120.30713861759749
72,左營區,新中里,22.6700662,120.30927847919583
73,左營區,新光里,22.67715295,120.30342371733681
74,左營區,菜公里,22.67982085,120.30965744344002
75,左營區,福山里,22.68626185,120.31780609713634
76,三民區,鼎金里,22.6665354,120.32861138505626
77,三民區,鼎盛里,22.675767999999998,120.32462333768797
78,三民區,鼎強里,22.672514,120.32633320485786
79,三民區,鼎力里,22.670063149999997,120.31932560338984
80,三民區,鼎西里,22.6633419,120.32515878513041
81,三民區,鼎中里,22.6639297,120.32056890203334
82,三民區,鼎泰里,22.6639819,120.31567167172005
83,三民區,本館里,22.65596085,120.33143061791151
84,三民區,本和里,22.656902600000002,120.32599887322814
